name,image_url,Hindi,Gujarati
"Petrol","","पेट्रोल","પેટ્રોલ"
"Diesel","","डीजल","ડીઝલ"
"Electric","","इलेक्ट्रिक","ઇલેક્ટ્રિક"
"CNG","","सीएनजी","સીએનજી"
